note_key,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
n9fe05b6b9113,0,0,0,0,0,0,0,0,0,37,203
n495752c6c322,0,0,0,0,0,0,0,0,0,74,447
n0d7a35992782,0,0,0,0,0,0,0,0,0,52,63
nd8c3d2084325,0,0,0,0,0,0,0,0,0,92,44
n44a925126c2a,0,0,0,0,0,0,0,0,0,162,179
n7e7687c7241c,0,0,0,0,0,0,0,0,0,179,52
n382c87b36cf8,0,0,0,0,0,0,0,0,0,197,156
n4e1806a141ad,0,0,0,0,0,0,0,0,0,136,46
ne8174c6cbacd,0,0,0,0,0,0,0,0,0,200,72
n187d44d77ec6,0,0,0,0,0,0,0,0,0,339,90
n412b475bc95e,0,0,0,0,0,0,0,0,0,233,42
na410c6265587,0,0,0,0,0,0,0,0,0,453,161
n570f8883263b,0,0,0,0,0,0,0,0,0,581,170
n236dd21b2c06,0,0,0,0,0,0,0,0,0,436,82
n592341b51298,0,0,0,0,0,0,0,0,0,184,38
nc9196add7608,0,0,0,0,0,0,0,0,0,236,20
n98cc4bf2a8e5,0,0,0,0,0,0,0,0,0,361,103
n18d31e66fa87,0,0,0,0,0,0,0,0,0,488,152
n4da86e778fc0,0,0,0,0,0,0,0,0,0,437,79
na82122e0c47a,0,0,0,0,0,0,0,0,0,353,75
nb0542ff7488e,0,0,0,0,0,0,0,0,0,158,15
nc8ed3beb4597,0,0,0,0,0,0,0,0,0,406,77
ne0c134563e5c,0,0,0,0,0,0,0,0,0,229,50
nfd1627f637a1,0,0,0,0,0,0,0,0,0,155,12
n2144b2f16b51,0,0,0,0,0,0,0,0,0,350,59
n0423f5875a0f,0,0,0,0,0,0,0,0,0,176,16
nc0fec2ebdbb6,0,0,0,0,0,0,0,0,0,587,39
ne003ba0a8415,0,0,0,0,0,0,0,0,0,376,24
n3eb14657a622,0,0,0,0,0,0,0,0,0,521,26
n48c68d1c4394,0,0,0,0,0,0,0,0,0,495,10
nb203e2481d3f,0,0,0,0,0,0,0,0,0,337,2
n8e55412fae84,0,0,0,0,0,0,0,0,26,291,20
n79c09162d4ff,0,0,0,0,0,0,0,0,45,341,29
nc125188da84d,0,0,0,0,0,0,0,0,59,260,8
n908400128067,0,0,0,0,0,0,0,0,99,295,11
n7e1e4462e17c,0,0,0,0,0,0,0,0,187,199,0
n32d65218a32e,0,0,0,0,0,0,0,0,190,213,46
naa8f89132514,0,0,0,0,0,0,0,0,100,85,6
necd7c9a22e36,0,0,0,0,0,0,0,0,121,150,8
n8999b9760fbf,0,0,0,0,0,0,0,0,113,145,8
nb80afbefbde6,0,0,0,0,0,0,0,0,147,121,2
n9828b3c1fce7,0,0,0,0,0,0,0,0,163,101,7
n723c897dcc56,0,0,0,0,0,0,0,0,868,295,10
n8c0758ae7495,0,0,0,0,0,0,0,0,254,134,13
n174d9e2de97f,0,0,0,0,0,0,0,0,261,246,9
ne865430e7a82,0,0,0,0,0,0,0,0,198,130,9
n9ef623edc202,0,0,0,0,0,0,0,0,433,448,2
n2baadeeeaae3,0,0,0,0,0,0,0,0,268,178,16
na27d30386983,0,0,0,0,0,0,0,0,480,201,7
n42c61862b347,0,0,0,0,0,0,0,0,245,100,24
nf777f8aa4698,0,0,0,0,0,0,0,0,363,263,42
n07e31ceb59cf,0,0,0,0,0,0,0,0,140,50,1
n2094f738ce49,0,0,0,0,0,0,0,0,532,243,34
n103f1e90a6cb,0,0,0,0,0,0,0,0,166,90,8
n0d99ac436524,0,0,0,0,0,0,0,0,448,105,45
n4f4928ddf89a,0,0,0,0,0,0,0,0,197,62,5
n9a1b55b5b97d,0,0,0,0,0,0,0,0,303,291,34
n798464f23938,0,0,0,0,0,0,0,0,712,193,6
nedcf6bc36d79,0,0,0,0,0,0,0,0,347,83,5
n37101a8ee187,0,0,0,0,0,0,0,0,490,71,1
nffabc756fedf,0,0,0,0,0,0,0,0,326,84,6
nfe7b9e0ec542,0,0,0,0,0,0,0,0,1143,60,1
ncd485fe1085c,0,0,0,0,0,0,0,0,3330,137,1
nafc898aec1f1,0,0,0,0,0,0,0,61,2449,147,32
