note_key,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
n9fe05b6b9113,0,0,0,0,0,0,0,0,0,0,8
n495752c6c322,0,0,0,0,0,0,0,0,0,16,27
n0d7a35992782,0,0,0,0,0,0,0,0,0,11,10
nd8c3d2084325,0,0,0,0,0,0,0,0,0,4,2
n44a925126c2a,0,0,0,0,0,0,0,0,0,9,12
n7e7687c7241c,0,0,0,0,0,0,0,0,0,10,1
n382c87b36cf8,0,0,0,0,0,0,0,0,0,25,5
n4e1806a141ad,0,0,0,0,0,0,0,0,0,18,8
ne8174c6cbacd,0,0,0,0,0,0,0,0,0,10,7
n187d44d77ec6,0,0,0,0,0,0,0,0,0,10,2
n412b475bc95e,0,0,0,0,0,0,0,0,0,31,3
na410c6265587,0,0,0,0,0,0,0,0,0,22,15
n570f8883263b,0,0,0,0,0,0,0,0,0,368,12
n236dd21b2c06,0,0,0,0,0,0,0,0,0,36,3
n592341b51298,0,0,0,0,0,0,0,0,0,38,1
nc9196add7608,0,0,0,0,0,0,0,0,0,17,2
n98cc4bf2a8e5,0,0,0,0,0,0,0,0,0,13,0
n18d31e66fa87,0,0,0,0,0,0,0,0,0,36,12
n4da86e778fc0,0,0,0,0,0,0,0,0,0,9,4
na82122e0c47a,0,0,0,0,0,0,0,0,0,21,1
nb0542ff7488e,0,0,0,0,0,0,0,0,0,27,16
nc8ed3beb4597,0,0,0,0,0,0,0,0,0,94,33
ne0c134563e5c,0,0,0,0,0,0,0,0,0,60,42
nfd1627f637a1,0,0,0,0,0,0,0,0,0,8,6
n2144b2f16b51,0,0,0,0,0,0,0,0,0,49,2
n0423f5875a0f,0,0,0,0,0,0,0,0,0,12,6
nc0fec2ebdbb6,0,0,0,0,0,0,0,0,0,93,8
ne003ba0a8415,0,0,0,0,0,0,0,0,0,67,27
n3eb14657a622,0,0,0,0,0,0,0,0,0,21,0
n48c68d1c4394,0,0,0,0,0,0,0,0,0,26,5
nb203e2481d3f,0,0,0,0,0,0,0,0,0,31,5
n8e55412fae84,0,0,0,0,0,0,0,0,0,31,0
n79c09162d4ff,0,0,0,0,0,0,0,0,11,27,3
nc125188da84d,0,0,0,0,0,0,0,0,10,19,1
n908400128067,0,0,0,0,0,0,0,0,24,10,1
n7e1e4462e17c,0,0,0,0,0,0,0,0,2,40,10
n32d65218a32e,0,0,0,0,0,0,0,0,14,36,10
naa8f89132514,0,0,0,0,0,0,0,0,7,18,7
necd7c9a22e36,0,0,0,0,0,0,0,0,8,16,6
n8999b9760fbf,0,0,0,0,0,0,0,0,11,14,4
nb80afbefbde6,0,0,0,0,0,0,0,0,1,4,0
n9828b3c1fce7,0,0,0,0,0,0,0,0,31,81,17
n723c897dcc56,0,0,0,0,0,0,0,0,23,32,6
n8c0758ae7495,0,0,0,0,0,0,0,0,63,247,109
n174d9e2de97f,0,0,0,0,0,0,0,0,67,147,25
ne865430e7a82,0,0,0,0,0,0,0,0,11,16,2
n9ef623edc202,0,0,0,0,0,0,0,0,14,15,1
n2baadeeeaae3,0,0,0,0,0,0,0,0,29,25,14
na27d30386983,0,0,0,0,0,0,0,0,16,16,1
n42c61862b347,0,0,0,0,0,0,0,0,5,13,2
nf777f8aa4698,0,0,0,0,0,0,0,0,20,16,8
n07e31ceb59cf,0,0,0,0,0,0,0,0,13,45,17
n2094f738ce49,0,0,0,0,0,0,0,0,35,27,3
n103f1e90a6cb,0,0,0,0,0,0,0,0,22,34,7
n0d99ac436524,0,0,0,0,0,0,0,0,22,0,0
n4f4928ddf89a,0,0,0,0,0,0,0,0,38,57,23
n9a1b55b5b97d,0,0,0,0,0,0,0,0,12,23,3
n798464f23938,0,0,0,0,0,0,0,0,38,15,0
nedcf6bc36d79,0,0,0,0,0,0,0,0,20,11,4
n37101a8ee187,0,0,0,0,0,0,0,0,32,46,3
nffabc756fedf,0,0,0,0,0,0,0,0,65,79,20
nfe7b9e0ec542,0,0,0,0,0,0,0,0,41,5,1
ncd485fe1085c,0,0,0,0,0,0,0,0,141,14,3
nafc898aec1f1,0,0,0,0,0,0,0,17,2635,20,4
n25ddce57423a,0,0,0,0,0,0,0,427,248,10,0
ne6d076bdd8f2,0,0,0,0,0,0,0,125,41,16,5
nac6e23f3c311,0,0,0,0,0,0,0,1,7,9,0
na16f31732af0,0,0,0,0,0,0,0,61,105,73,25
n87ed7ac2b70b,0,0,0,0,0,0,0,15,46,84,45
n2239d6d8e0ce,0,0,0,0,0,0,0,15,46,27,5
n4992e2b12d9f,0,0,0,0,0,0,0,595,65,50,26
nce409c61ed07,0,0,0,0,0,0,0,115,41,31,3
n7804f7a4b765,0,0,0,0,0,0,0,130,26,7,0
nc60f655c413b,0,0,0,0,0,0,0,1240,23,6,0
n676a47afaace,0,0,0,0,0,0,0,1598,68,44,17
nacb9878c2dde,0,0,0,0,0,0,0,31,41,47,13
n02efd2bdb4b3,0,0,0,0,0,0,0,45,97,80,23
n52d2708230bf,0,0,0,0,0,0,0,197,60,58,22
n8cee7e8d3717,0,0,0,0,0,0,0,13,50,63,23
ne815e4ca30ae,0,0,0,0,0,0,0,15,26,22,8
n8b2c73ed8f7d,0,0,0,0,0,0,0,49,49,47,10
nc1f5c2ff7165,0,0,0,0,0,0,0,24,13,8,0
n2370a0440ea8,0,0,0,0,0,0,0,131,112,114,44
nb27811a4b358,0,0,0,0,0,0,0,15,11,4,2
na7d232ccec19,0,0,0,0,0,0,0,87,81,39,19
n5fc5895da192,0,0,0,0,0,0,0,91,132,83,24
n50efd5c71fdf,0,0,0,0,0,0,0,2,1,2,0
n46c91aeff52d,0,0,0,0,0,0,0,173,64,23,11
nd385ea34a02e,0,0,0,0,0,0,0,32,37,17,15
n490e82bd5ad5,0,0,0,0,0,0,0,42,13,0,0
nc54f88debcde,0,0,0,0,0,0,0,28,25,22,16
nf3ca6edb643a,0,0,0,0,0,0,0,8,9,5,2
n247021d1e7de,0,0,0,0,0,0,0,56,22,4,3
n751f22c1c46d,0,0,0,0,0,0,1,8,4,1,0
n2897203969c1,0,0,0,0,0,0,20,63,18,13,1
n6559d03d3b54,0,0,0,0,0,0,4,26,13,5,5
n31e80512500d,0,0,0,0,0,0,73,26,46,42,6
n963edfef8c07,0,0,0,0,0,0,5,3,6,0,0
nb56841d4aeaf,0,0,0,0,0,0,347,30,21,10,0
n6bb8fe0f4ed6,0,0,0,0,0,0,13,36,18,14,4
nbc1ec552ac2f,0,0,0,0,0,0,40,47,47,56,10
na39b548cdf66,0,0,0,0,0,0,5,13,4,7,0
n1ffbde3cf8b6,0,0,0,0,0,0,31,169,235,422,177
n917c1a771ff8,0,0,0,0,0,0,55,20,17,12,1
n67bcd9edc469,0,0,0,0,0,0,61,132,192,210,78
n6ac167e0c79e,0,0,0,0,0,0,14,72,126,136,50
n4ef6d4366e65,0,0,0,0,0,0,9,26,88,66,12
nba6dbf72fc78,0,0,0,0,0,0,5,16,26,34,7
n8cedcf36e6d8,0,0,0,0,0,0,18,50,48,17,3
nb6fc70762f8b,0,0,0,0,0,0,7,10,50,31,11
n352dbe76b00e,0,0,0,0,0,0,11,7,14,9,3
n0a2a0090f703,0,0,0,0,0,0,6,15,26,18,5
n6fd26a0ab301,0,0,0,0,0,0,43,43,111,130,57
n70643deaa83d,0,0,0,0,0,0,8,16,36,21,4
n90af83391966,0,0,0,0,0,0,29,5,11,2,1
na50b340920e5,0,0,0,0,0,0,23,20,37,39,8
nb727d58b3370,0,0,0,0,0,0,94,20,22,8,4
nb30a03176cbb,0,0,0,0,0,0,8,21,19,9,3
n45dc45cca971,0,0,0,0,0,0,24,13,9,7,3
nb9e12cf1a0c6,0,0,0,0,0,0,15,16,31,30,5
nce6b28b57a0c,0,0,0,0,0,0,118,188,465,194,27
nc480156e775c,0,0,0,0,0,0,40,71,91,78,13
n5ae5865b8f47,0,0,0,0,0,0,75,17,16,24,11
n95b909ee69bc,0,0,0,0,0,0,10,6,13,9,2
n7f1c150b45d6,0,0,0,0,0,0,42,22,39,44,10
n8ec31350484a,0,0,0,0,0,7,106,7,8,3,1
n4363a9958121,0,0,0,0,0,58,38,12,7,11,0
n16282c67f2b0,0,0,0,0,0,6,10,8,13,8,3
nb99adca17a30,0,0,0,0,0,8,23,15,12,13,7
n08f1e8a7c62a,0,0,0,0,0,8,14,11,13,10,6
n1eac2ee482e3,0,0,0,0,0,10,21,9,9,6,0
n8d03aae390f1,0,0,0,0,0,31,36,5,20,23,6
nc4672d3f5b25,0,0,0,0,0,11,14,33,40,31,9
n70b5782e5d05,0,0,0,0,0,3,12,13,39,54,7
na550b03346d5,0,0,0,0,0,40,58,112,188,386,103
ne453e41c12ad,0,0,0,0,0,10,13,2,14,19,4
n3b8f2068f470,0,0,0,0,0,6,24,53,76,81,22
n0b6c9a4af119,0,0,0,0,0,28,49,173,170,18,4
n48428c64a7f6,0,0,0,0,0,20,10,16,8,14,3
n3f3977cb8d22,0,0,0,0,0,9,22,24,43,31,10
n4c411f2eaa5d,0,0,0,0,0,14,7,10,35,14,7
n3ae2b17e6adb,0,0,0,0,0,16,21,18,17,19,6
n078cff4a1332,0,0,0,0,0,21,12,12,23,19,3
nad45fb42dc52,0,0,0,0,0,4,8,12,13,7,2
necf19d36c622,0,0,0,0,0,17,7,11,7,8,3
n89557cf3476b,0,0,0,0,0,17,7,16,14,18,2
ne4d3969c6fa4,0,0,0,0,0,10,13,37,76,43,8
n07974d0c1e08,0,0,0,0,0,43,32,45,100,83,19
n74ad937a9dc1,0,0,0,0,0,10,1,0,1,2,0
n3c59fec7b45d,0,0,0,0,0,47,44,52,111,108,44
n3d83ccce7e3e,0,0,0,0,0,50,69,99,153,122,36
n4e0dfb24c40b,0,0,0,0,0,22,9,12,20,8,1
n72675b366d7d,0,0,0,0,0,56,39,44,64,31,4
n8491abe1ce39,0,0,0,0,0,40,27,37,64,52,13
na302c043d750,0,0,0,0,0,19,10,13,28,75,29
na5d94f63cdf9,0,0,0,0,12,36,5,0,1,0,0
n19ec0b7edb21,0,0,0,0,9,36,17,40,39,28,5
nb457c1f625ed,0,0,0,0,2,6,5,0,2,5,0
n6793410e5e03,0,0,0,0,3,5,4,1,10,2,2
n611885aadcad,0,0,0,0,36,62,29,28,42,26,16
n60e828d3a55b,0,0,0,0,21,8,8,38,44,32,15
n8b4685360eb8,0,0,0,0,17,46,15,14,18,23,8
nea8a60b9b284,0,0,0,0,29,38,16,24,40,39,11
n42719a398585,0,0,0,0,12,6,9,9,5,6,2
n1489488224e5,0,0,0,0,9,16,6,12,17,10,3
nbeb4ab125d5e,0,0,0,0,29,23,31,55,90,80,32
n9d9a83cb3dfd,0,0,0,0,16,12,12,15,13,19,6
naa9f95caf671,0,0,0,0,4,7,0,8,1,2,0
n68f7c15cebc3,0,0,0,0,52,52,92,179,196,229,58
naf1fb27e54fb,0,0,0,0,29,13,24,25,19,21,0
nda66ac1cf8d1,0,0,0,0,41,16,7,12,8,14,2
n7b80d5f46f65,0,0,0,0,54,58,45,55,32,36,5
nb01a031c7fc6,0,0,0,0,131,139,71,113,239,291,134
n33813b406e1a,0,0,0,0,8,6,11,8,8,0,0
nb054be77f8bb,0,0,0,0,48,35,16,26,25,23,4
nf7e60730ac7b,0,0,0,0,12,6,9,7,15,14,6
n6fa7c511dc34,0,0,0,0,29,45,20,13,33,32,13
ndbce63cf191b,0,0,0,0,73,29,21,43,69,54,15
nf5c16bd025d3,0,0,0,0,28,9,11,15,44,15,5
n2421d4c00a10,0,0,0,0,8,1,1,4,13,6,0
n82a99a50d3b9,0,0,0,0,34,48,28,26,13,5,1
n1b375234f012,0,0,0,0,49,23,15,24,27,9,9
n47c279e5852e,0,0,0,0,97,30,24,28,46,39,14
n0711f1c0be36,0,0,0,0,20,2,7,1,9,7,4
n44e97dcef0c3,0,0,0,0,20,0,2,1,4,15,1
ncba311fd8318,0,0,0,0,35,62,147,487,596,643,185
n9a8806f0d090,0,0,0,3,33,9,8,10,8,14,1
n406455b03457,0,0,0,1,49,34,29,38,40,34,12
ned1140d1584f,0,0,0,19,37,16,19,22,11,7,2
n8b5fd86228d5,0,0,0,3,16,34,53,53,92,56,13
nf45d369fab7b,0,0,0,15,68,21,14,27,28,17,11
nb5ea37b1b7d7,0,0,0,18,20,3,0,0,2,2,0
n68325ed28e88,0,0,0,22,23,15,15,34,23,29,10
nfd2e3619802b,0,0,0,13,60,35,97,110,148,153,35
na391668820d4,0,0,0,3,6,2,2,0,2,7,4
ndd361fecfc9b,0,0,0,51,162,6,4,20,10,14,5
n4bf567a661e9,0,0,0,19,24,7,7,29,61,23,0
n106fe0a6041f,0,0,0,16,25,30,17,22,27,12,10
nfe87df930043,0,0,0,35,34,15,7,17,24,7,1
n4719d935a04f,0,0,0,36,60,3,11,15,12,7,5
nb13763e9a90b,0,0,0,10,6,3,8,2,2,2,0
n3a9b1117d511,0,0,0,14,14,9,2,6,6,11,4
ne282ee09e464,0,0,0,92,57,22,28,25,26,12,2
n7b8221e33ca9,0,0,0,33,22,12,10,33,34,21,11
n9b27e8dd0302,0,0,0,12,4,3,0,0,2,0,0
n8da963a17cf2,0,0,0,12,18,13,13,15,15,12,7
n97dc0451d545,0,0,0,31,23,30,50,140,207,138,53
nb82c39f56d4b,0,0,0,26,73,30,43,38,10,10,6
n2075bed661a7,0,0,0,58,50,22,30,31,73,44,11
nc3fb4d7168ee,0,0,0,31,38,3,6,12,19,8,3
n1a4e8f9fb5b3,0,0,0,42,29,10,37,65,50,21,8
nd4302663a549,0,0,0,63,28,7,5,14,20,14,4
